name	team	pos	opp	proj	st	rost	fpts	avg
Terrance Ferguson	LAR	TE	SF	8.1	1.4	7.9	137.0	8.1
Chig Okonkwo	WSH	TE	@PHI	6.9	1.4	7.8	123.4	7.3
Bears D/ST	CHI	DST	@CAR	11.7	5.3	7.6	180.1	10.6
49ers D/ST	SF	DST	@LAR	9.0	4.1	7.5	176.4	10.4
Buccaneers D/ST	TB	DST	@CIN	9.9	5.3	7.5	178.4	10.5
Germie Bernard	PIT	WR	ATL	8.0	0.4	7.4	102.4	6.0
Cooper Kupp	SEA	WR	NE	6.3	0.9	7.4	171.6	10.1
Saints D/ST	NO	DST	@DET	8.9	6.1	7.3	134.3	7.9
Dalton Schultz	HOU	TE	BUF	8.5	1.5	7.1	96.2	5.7
Darnell Mooney	NYG	WR	DAL	9.3	0.6	6.7	66.5	3.9
Mike Washington Jr.	LV	RB	MIA	5.0	0.3	6.3	88.9	5.2
Braelon Allen	NYJ	RB	@TEN	5.4	0.3	6.3	129.4	7.6
Jake Elliott	PHI	K	WSH	8.1	4.2	6.3	136.9	8.1
Pat Freiermuth	PIT	TE	ATL	8.5	1.4	6.2	229.7	13.5
Bryce Young	CAR	QB	CHI	14.5	0.8	5.7	116.6	6.9
Antonio Williams	WSH	WR	@PHI	6.5	0.2	5.6	41.7	2.5
George Holani	SEA	RB	NE	6.5	0.3	5.3	138.0	8.1
Trey Smack	GB	K	@MIN	7.9	4.1	5.3	116.1	6.8
Jalen Nailor	LV	WR	MIA	7.6	0.3	4.8	170.5	10.0
Titans D/ST	TEN	DST	NYJ	12.1	3.9	4.8	89.4	5.3
Chris Bell	MIA	WR	@LV	5.3	0.2	4.7	89.4	5.3
Bills D/ST	BUF	DST	@HOU	10.0	2.6	4.5	157.2	9.2
Justice Hill	BAL	RB	@IND	6.8	0.4	4.2	115.0	6.8
AJ Barner	SEA	TE	NE	6.6	0.8	4.1	114.4	6.7
David Njoku	LAC	TE	ARI	5.3	0.6	4.0	85.3	5.0
Isaac TeSlaa	DET	WR	NO	4.3	0.3	3.9	73.6	4.3
Keaton Mitchell	LAC	RB	ARI	4.3	0.2	3.9	64.4	3.8
Aaron Rodgers	PIT	QB	ATL	14.3	0.6	3.8	209.5	12.3
Nick Folk	ATL	K	@PIT	7.6	2.9	3.7	139.0	8.2
Giants D/ST	NYG	DST	DAL	9.7	2.1	3.6	168.1	9.9
Colts D/ST	IND	DST	BAL	9.1	2.3	3.6	180.5	10.6
Wil Lutz	DEN	K	@KC	7.3	2.6	3.6	130.3	7.7
Odell Beckham Jr.	NYG	WR	DAL	4.9	0.4	3.6	38.2	2.2
Adonai Mitchell	NYJ	WR	@TEN	6.9	0.2	3.5	117.7	6.9
Jonah Coleman	DEN	RB	@KC	2.3	0.1	3.4	41.1	2.4
Andy Borregales	NE	K	@SEA	6.6	2.7	3.4	122.3	7.2
Ray Davis	BUF	RB	@HOU	2.0	0.3	3.3	36.4	2.1
Dylan Sampson	CLE	RB	@JAX	5.0	0.4	3.2	86.7	5.1
Rashod Bateman	BAL	WR	@IND	7.3	0.3	3.1	124.2	7.3
Gunnar Helm	TEN	TE	NYJ	7.5	0.6	3.1	127.1	7.5
Jordan James	SF	RB	@LAR	3.4	0.2	3.0	65.3	3.8
De'Zhaun Stribling	SF	WR	@LAR	4.7	0.1	2.9	63.2	3.7
Jake Tonges	SF	TE	@LAR	8.2	0.8	2.8	33.9	2.0
Malik Washington	MIA	WR	@LV	6.2	0.4	2.8	103.8	6.1
Emmett Johnson	KC	RB	DEN	2.5	0.2	2.7	46.9	2.8
Nicholas Singleton	TEN	RB	NYJ	1.2	0.1	2.7	19.9	1.2
Ja'Kobi Lane	BAL	WR	@IND	4.9	0.3	2.7	83.0	4.9
MarShawn Lloyd	GB	RB	@MIN	3.8	0.2	2.6	65.3	3.8
Bengals D/ST	CIN	DST	TB	10.2	1.5	2.6	174.8	10.3
Jacoby Brissett	ARI	QB	@LAC	12.5	0.3	2.6	189.7	11.2
Greg Dulcich	MIA	TE	@LV	7.1	0.5	2.6	120.2	7.1
Evan Engram	DEN	TE	@KC	6.2	0.5	2.5	107.1	6.3
Kayshon Boutte	NE	WR	@SEA	3.7	0.3	2.5	68.5	4.0
Tre' Harris	LAC	WR	ARI	5.7	0.2	2.4	90.1	5.3
Kaelon Black	SF	RB	@LAR	1.8	0.1	2.4	35.0	2.1
Zachariah Branch	ATL	WR	@PIT	4.6	0.2	2.4	81.2	4.8
Shedeur Sanders	CLE	QB	@JAX	0.5	0.2	2.4	92.3	5.4
Ryan Flournoy	DAL	WR	@NYG	5.4	0.3	2.3	90.3	5.3
Christian Kirk	SF	WR	@LAR	4.8	0.2	2.3	67.9	4.0
Geno Smith	NYJ	QB	@TEN	13.2	0.3	2.2	221.5	13.0
Cade Otton	TB	TE	@CIN	6.2	0.4	2.2	102.8	6.0
Jason Sanders	NYJ	K	@TEN	7.3	1.7	2.1	125.6	7.4
Tua Tagovailoa	ATL	QB	@PIT	10.2	0.3	2.1	111.0	6.5
Panthers D/ST	CAR	DST	CHI	8.3	1.2	2.1	156.1	9.2
Jack Bech	LV	WR	MIA	6.1	0.2	2.1	92.0	5.4
Kimani Vidal	LAC	RB	ARI	2.6	0.2	2.0	39.1	2.3
Raiders D/ST	LV	DST	MIA	10.1	1.3	2.0	153.2	9.0
Samaje Perine	CIN	RB	TB	6.0	0.3	1.9	101.9	6.0
Mike Gesicki	CIN	TE	TB	6.4	0.4	1.9	107.7	6.3
Keon Coleman	BUF	WR	@HOU	3.7	0.2	1.8	60.3	3.5
Eli Stowers	PHI	TE	WSH	2.4	0.2	1.8	38.0	2.2
Jaydon Blue	DAL	RB	@NYG	2.8	0.3	1.8	47.2	2.8
Kaytron Allen	WSH	RB	@PHI	0.9	0.1	1.7	16.0	0.9
Falcons D/ST	ATL	DST	@PIT	10.3	0.9	1.6	160.2	9.4
Darnell Washington	PIT	TE	ATL	4.5	0.3	1.5	72.6	4.3
Charlie Smyth	NO	K	@DET	7.4	1.1	1.5	132.6	7.8
Tyler Bass	BUF	K	@HOU	7.2	0.9	1.5	131.0	7.7
Jaylin Noel	HOU	WR	BUF	6.5	0.1	1.5	103.1	6.1
Colby Parkinson	LAR	TE	SF	3.9	0.3	1.5	65.0	3.8
Troy Franklin	DEN	WR	@KC	2.9	0.1	1.4	51.2	3.0
Deshaun Watson	CLE	QB	@JAX	11.7	0.2	1.4	114.0	6.7
Demond Claiborne	MIN	RB	GB	1.4	0.1	1.4	24.3	1.4
Chimere Dike	TEN	WR	NYJ	1.6	0.2	1.4	26.0	1.5
Malachi Fields	NYG	WR	DAL	2.2	0.1	1.3	34.7	2.0
Commanders D/ST	WSH	DST	@PHI	10.5	0.8	1.3	178.2	10.5
Jets D/ST	NYJ	DST	@TEN	12.1	0.8	1.3	189.4	11.1
Pat Bryant	DEN	WR	@KC	4.2	0.1	1.3	73.2	4.3
Caleb Douglas	MIA	WR	@LV	4.8	0.1	1.2	81.1	4.8
Tory Horton	SEA	WR	NE	3.8	0.1	1.2	65.8	3.9
Jaylen Wright	MIA	RB	@LV	2.7	0.2	1.1	43.7	2.6
Blake Grupe	IND	K	BAL	7.4	0.7	1.1	126.1	7.4
Darius Slayton	NYG	WR	DAL	8.5	0.3	1.1	87.8	5.2
Xavier Legette	CAR	WR	CHI	4.4	0.1	1.1	71.4	4.2
Matt Gay	LV	K	MIA	7.7	0.7	1.1	119.0	7.0
Skyler Bell	BUF	WR	@HOU	2.4	0.1	1.1	43.4	2.6
Michael Penix Jr.	ATL	QB	@PIT	0.5	0.1	1.0	111.2	6.5
Chris Brazzell II	CAR	WR	CHI	3.7	0.1	1.0	61.7	3.6
Ollie Gordon II	MIA	RB	@LV	2.2	0.1	1.0	35.3	2.1
Dontayvion Wicks	PHI	WR	WSH	4.1	0.1	1.0	66.2	3.9
Devaughn Vele	NO	WR	@DET	3.5	0.1	1.0	61.1	3.6
Ty Johnson	BUF	RB	@HOU	4.7	0.2	1.0	85.4	5.0
Elijah Sarratt	BAL	WR	@IND	3.5	0.1	0.9	60.2	3.5
Kaleb Johnson	PIT	RB	ATL	0.3	0.1	0.9	4.9	0.3
Ted Hurst III	TB	WR	@CIN	4.0	0.0	0.9	65.6	3.9
Ty Simpson	LAR	QB	SF	0.6	0.1	0.9	9.5	0.6
Theo Johnson	NYG	TE	DAL	4.4	0.2	0.9	63.7	3.7
Jalen Tolbert	MIA	WR	@LV	5.4	0.1	0.9	90.3	5.3
Cole Kmet	CHI	TE	@CAR	3.1	0.3	0.9	54.1	3.2
Justin Fields	KC	QB	DEN	0.5	0.1	0.8	9.8	0.6
Dolphins D/ST	MIA	DST	@LV	9.9	0.6	0.8	152.2	9.0
Adam Randall	BAL	RB	@IND	1.5	0.1	0.8	25.4	1.5
Dawson Knox	BUF	TE	@HOU	3.8	0.2	0.8	68.9	4.1
Chris Brooks	GB	RB	@MIN	2.6	0.1	0.8	44.0	2.6
Michael Mayer	LV	TE	MIA	5.3	0.2	0.8	81.2	4.8
Hollywood Brown	PHI	WR	WSH	3.2	0.1	0.8	51.3	3.0
Kirk Cousins	LV	QB	MIA	14.5	0.3	1.5	45.1	2.7
J.J. McCarthy	MIN	QB	GB	0.6	0.1	1.2	38.7	2.3
Carson Beck	ARI	QB	@LAC	0.0	0.1	1.1	119.0	7.0
